video_id,author,comment
SQXcaHsG0Fc,daumm Tot,  =>FIRST CALLBACK REPLY: Awal Pesta yg dimulai dengan sebuah KECURANGAN apakah mungkin itu terjadi ... 🙂🙂🙂
SQXcaHsG0Fc,Cahya Abadi,"  =>FIRST CALLBACK REPLY: ​@Aku Kamujangan berhenti berharap. Securang2nya penguasa, cuman rakyat yg bisa menumbangkannya. Boleh tidak suka Anies, boleh tidak suka Ganjar tapi setidaknya pasangan ini ga rubah UU suka-suka. <br>Semua pasangan ada buruknya tapi tidak ada yg lebih buruk dibanding yg merusak UU demi kepentingan kelompoknya."
SQXcaHsG0Fc,Beny Beo,  =>FIRST CALLBACK REPLY: ​@Dhe SantosTanda2 ke arah itu kan sdh ada bro
SQXcaHsG0Fc,Faisal randi Djunaidi,  =>FIRST CALLBACK REPLY: Intinya 1 aja ea kan…. Berangus tuntas para pelaku2 yang telah nepotis dan kolutif ngangkangin MK. <br><br>Yg sekarang bangga dengan surpey2an😂😂😂. Opini mereka menang surpey menang pilpress. Survey mung 1200 org pilpres 200 jtan orang.. plis deh ih..  dungu tapi ga segitu dungu juga laa..😂😂
SQXcaHsG0Fc,Rian Batam,  =>FIRST CALLBACK REPLY: Gmn gx timbul perpecahan kl ada yg haus kekuasaan n menghalalkan segara cara untuk anaknya
SQXcaHsG0Fc,Eko Darmawantoro,  =>FIRST CALLBACK REPLY: ​@Made Darsanapasti nyungsep
SQXcaHsG0Fc,mardjoko aja,  =>FIRST CALLBACK REPLY: Amin
SQXcaHsG0Fc,nafi naf,  =>FIRST CALLBACK REPLY: Hmm sy perhatikan ini bahasa pro rezim
SQXcaHsG0Fc,LooseKanon Stan,  =>FIRST CALLBACK REPLY: @Faisal randi Djunaidi setuju bro kubu Ganjar dan kubu Prabowo bangga banget menang survey dipikirnya yang coblos di TPS itu survey kali ya 😁😁😁
SQXcaHsG0Fc,Fajari Fajari,  =>FIRST CALLBACK REPLY: Allohumasoli&#39;alasaiyidinaMuhammad semoga pk ANIES RB MENUJU RI.1 Aamiin..🤲🤲👍👍💪💪☝️☝️👈💪💪💪
SQXcaHsG0Fc,Aku Kamu,  =>FIRST CALLBACK REPLY: @Cahya Abadi In Sya Allah bos. Tks
SQXcaHsG0Fc,Awaken,"  =>FIRST CALLBACK REPLY: Bahasa mu terlalu di awang²😅 jelas mau pemilu udah ribut gini, blm ditingkat pengusaha, bahaya cok"
SQXcaHsG0Fc,Udin Setiawan,  =>FIRST CALLBACK REPLY: Betul....jgn suka jelek kan orang
SQXcaHsG0Fc,Rahmat Pku12,  =>FIRST CALLBACK REPLY: ​@Made Darsanagama itu singkatan dari gagal maning kata komedian 😅😅😅
